1.6310 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
89.1853 	EXP 	grating: autoDraw = False
89.1853 	EXP 	grating: ori = 3.0
89.1853 	EXP 	fixation: autoDraw = True
90.1852 	EXP 	fixation: autoDraw = False
90.1852 	EXP 	grating: autoDraw = True
90.4851 	EXP 	grating: autoDraw = False
90.5730 	EXP 	New trial (rep=48, index=0): None
90.5754 	DATA 	Keypress: down
90.5851 	EXP 	fixation: autoDraw = False
90.5851 	EXP 	grating: autoDraw = False
90.5851 	EXP 	grating: ori = -4.0
90.5851 	EXP 	fixation: autoDraw = True
91.5851 	EXP 	fixation: autoDraw = False
91.5851 	EXP 	grating: autoDraw = True
91.8851 	EXP 	grating: autoDraw = False
91.9069 	EXP 	New trial (rep=49, index=0): None
91.9089 	DATA 	Keypress: down
91.9183 	EXP 	fixation: autoDraw = False
91.9183 	EXP 	grating: autoDraw = False
91.9183 	EXP 	grating: ori = 0.0
91.9183 	EXP 	fixation: autoDraw = True
92.9184 	EXP 	fixation: autoDraw = False
92.9184 	EXP 	grating: autoDraw = True
93.2184 	EXP 	grating: autoDraw = False
93.3569 	EXP 	New trial (rep=50, index=0): None
93.3589 	DATA 	Keypress: down
93.3682 	EXP 	fixation: autoDraw = False
93.3682 	EXP 	grating: autoDraw = False
93.3682 	EXP 	grating: ori = 0.0
93.3682 	EXP 	fixation: autoDraw = True
94.3682 	EXP 	fixation: autoDraw = False
94.3682 	EXP 	grating: autoDraw = True
94.6683 	EXP 	grating: autoDraw = False
95.0062 	EXP 	New trial (rep=51, index=0): None
95.0084 	DATA 	Keypress: up
95.0185 	EXP 	fixation: autoDraw = False
95.0185 	EXP 	grating: autoDraw = False
95.0185 	EXP 	grating: ori = 0.0
95.0185 	EXP 	fixation: autoDraw = True
96.0182 	EXP 	fixation: autoDraw = False
96.0182 	EXP 	grating: autoDraw = True
96.3182 	EXP 	grating: autoDraw = False
96.5568 	EXP 	New trial (rep=52, index=0): None
96.5598 	DATA 	Keypress: up
96.5682 	EXP 	fixation: autoDraw = False
96.5682 	EXP 	grating: autoDraw = False
96.5682 	EXP 	grating: ori = 3.0
96.5682 	EXP 	fixation: autoDraw = True
97.5682 	EXP 	fixation: autoDraw = False
97.5682 	EXP 	grating: autoDraw = True
97.8682 	EXP 	grating: autoDraw = False
98.0744 	EXP 	New trial (rep=53, index=0): None
98.0765 	DATA 	Keypress: up
98.0850 	EXP 	fixation: autoDraw = False
98.0850 	EXP 	grating: autoDraw = False
98.0850 	EXP 	grating: ori = 0.0
98.0850 	EXP 	fixation: autoDraw = True
99.0851 	EXP 	fixation: autoDraw = False
99.0851 	EXP 	grating: autoDraw = True
99.3849 	EXP 	grating: autoDraw = False
99.5383 	DATA 	Keypress: up
99.5562 	EXP 	New trial (rep=54, index=0): None
99.5682 	EXP 	fixation: autoDraw = False
99.5682 	EXP 	grating: autoDraw = False
99.5682 	EXP 	grating: ori = 0.0
99.5682 	EXP 	fixation: autoDraw = True
100.5682 	EXP 	fixation: autoDraw = False
100.5682 	EXP 	grating: autoDraw = True
100.8679 	EXP 	grating: autoDraw = False
101.1065 	EXP 	New trial (rep=55, index=0): None
101.1084 	DATA 	Keypress: up
101.1181 	EXP 	fixation: autoDraw = False
101.1181 	EXP 	grating: autoDraw = False
101.1181 	EXP 	grating: ori = 3.0
101.1181 	EXP 	fixation: autoDraw = True
102.1182 	EXP 	fixation: autoDraw = False
102.1182 	EXP 	grating: autoDraw = True
102.4181 	EXP 	grating: autoDraw = False
102.7897 	EXP 	New trial (rep=56, index=0): None
102.7921 	DATA 	Keypress: down
102.8015 	EXP 	fixation: autoDraw = False
102.8015 	EXP 	grating: autoDraw = False
102.8015 	EXP 	grating: ori = 0.0
102.8015 	EXP 	fixation: autoDraw = True
103.8015 	EXP 	fixation: autoDraw = False
103.8015 	EXP 	grating: autoDraw = True
104.1015 	EXP 	grating: autoDraw = False
104.3562 	EXP 	New trial (rep=57, index=0): None
104.3583 	DATA 	Keypress: up
104.3680 	EXP 	fixation: autoDraw = False
104.3680 	EXP 	grating: autoDraw = False
104.3680 	EXP 	grating: ori = 1.0
104.3680 	EXP 	fixation: autoDraw = True
105.3680 	EXP 	fixation: autoDraw = False
105.3680 	EXP 	grating: autoDraw = True
105.6680 	EXP 	grating: autoDraw = False
106.0397 	EXP 	New trial (rep=58, index=0): None
106.0429 	DATA 	Keypress: down
106.0514 	EXP 	fixation: autoDraw = False
106.0514 	EXP 	grating: autoDraw = False
106.0514 	EXP 	grating: ori = -3.0
106.0514 	EXP 	fixation: autoDraw = True
107.0516 	EXP 	fixation: autoDraw = False
107.0516 	EXP 	grating: autoDraw = True
107.3515 	EXP 	grating: autoDraw = False
107.6566 	EXP 	New trial (rep=59, index=0): None
107.6587 	DATA 	Keypress: up
107.6680 	EXP 	fixation: autoDraw = False
107.6680 	EXP 	grating: autoDraw = False
107.6680 	EXP 	grating: ori = 1.0
107.6680 	EXP 	fixation: autoDraw = True
108.6680 	EXP 	fixation: autoDraw = False
108.6680 	EXP 	grating: autoDraw = True
108.9681 	EXP 	grating: autoDraw = False
109.4232 	EXP 	New trial (rep=60, index=0): None
109.4257 	DATA 	Keypress: up
109.4348 	EXP 	fixation: autoDraw = False
109.4348 	EXP 	grating: autoDraw = False
109.4348 	EXP 	grating: ori = 4.0
109.4348 	EXP 	fixation: autoDraw = True
110.4349 	EXP 	fixation: autoDraw = False
110.4349 	EXP 	grating: autoDraw = True
110.7348 	EXP 	grating: autoDraw = False
